其他,玉林市 ,￥12.00每棵,2021-11-25
杨梅,玉林市 ,￥18.00每棵,2021-11-25
板栗,玉林市 ,￥15.00每棵,2021-11-25
其他,运城市 ,￥15.00每棵,2021-11-25
其他,玉林市 ,￥6.00每棵,2021-11-24
其他,运城市 ,￥1.00每棵,2021-11-24
橙子,重庆 ,￥6.00每斤,2021-11-24
其他,玉林市 ,￥10.00每斤,2021-11-24
橙子,贺州市 ,￥3.00每斤,2021-11-24
柠檬,玉林市 ,￥10.00每棵,2021-11-24
红富士苹果,运城市 ,￥2.00每斤,2021-11-24
芒果,玉林市 ,￥12.00每棵,2021-11-24
其他,运城市 ,￥25.00每棵,2021-11-24
橙子,湛江市 ,￥6.00每斤,2021-11-23
其他,玉林市 ,￥10.00每棵,2021-11-23
菠萝,玉林市 ,￥10.00每斤,2021-11-23
橙子,眉山市 ,￥3.00每斤,2021-11-23
李子,玉林市 ,￥12.00每棵,2021-11-23
葡萄,石家庄市 ,￥3.00每斤,2021-11-23
柠檬,玉林市 ,￥12.00每斤,2021-11-23
其他,运城市 ,￥28.00每棵,2021-11-23
砂糖橘,南宁市 ,￥50.00每箱,2021-11-22
其他,玉林市 ,￥3.00每棵,2021-11-22
红富士苹果,临汾市 ,￥0.60每斤,2021-11-22
其他,玉林市 ,￥10.00每棵,2021-11-17
砂糖橘,贵港市 ,￥2.50每斤,2021-11-17
桔子,桂林市 ,￥8.88每斤,2021-11-17
橙子,赣州市 ,￥1.80每斤,2021-11-17
包装,成都市 ,￥0.00每个,2021-11-17
其他,玉林市 ,￥12.00每棵,2021-11-16
柠檬,玉林市 ,￥10.00每棵,2021-11-16
杨梅,玉林市 ,￥12.00每棵,2021-11-16
石榴,玉林市 ,￥8.00每棵,2021-11-16
红富士苹果,石家庄市 ,￥0.80每斤,2021-11-16
香蕉,红河哈尼族彝族自治州 ,￥3.50每斤,2021-11-16
芒果,玉林市 ,￥9.00每棵,2021-11-15
其他,玉林市 ,￥10.00每棵,2021-11-15
菠萝,玉林市 ,￥6.00每棵,2021-11-15
红富士苹果,延安市 ,￥3.00每斤,2021-11-15
弥猴桃,宝鸡市 ,￥8.00每斤,2021-11-15
红富士苹果,石家庄市 ,￥0.80每斤,2021-11-15
红富士苹果,延安市 ,￥4.00每斤,2021-11-15
橙子,赣州市 ,￥4.00每斤,2021-11-14
菠萝,玉林市 ,￥23.00每棵,2021-11-14
其他,玉林市 ,￥10.00每棵,2021-11-14
其他,玉林市 ,￥23.00每棵,2021-11-14
红富士苹果,石家庄市 ,￥0.80每斤,2021-11-14
其他,南宁市 ,￥6.80每斤,2021-11-14
甜瓜,海口市 ,￥0.00每斤,2021-11-10
橙子,湛江市 ,￥8.00每斤,2021-11-09
梨,洛阳市 ,￥2.00每斤,2021-11-09
